name;2006;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Early 2021
Hà Nội;98.30;97.90;97.80;98.00;98.30;98.20;98.60;98.50;98.70;98.70;98.80;99.20;98.90;98.94
Vĩnh Phúc;96.90;97.30;97.00;97.40;98.10;98.10;97.70;97.80;98.20;97.70;97.40;98.70;98.30;98.66
Bắc Ninh;96.50;97.10;96.50;97.20;97.80;97.60;97.80;97.50;97.50;97.70;97.70;98.80;98.46;98.35
Quảng Ninh;96.30;95.50;96.90;96.90;95.50;95.50;97.20;96.80;97.40;97.10;96.80;97.00;97.06;97.15
Hải Dương;96.90;97.30;97.40;97.60;98.40;98.70;98.00;98.20;98.50;98.00;98.20;99.00;98.69;98.73
Hải Phòng;96.80;97.90;98.10;98.30;98.30;98.50;98.10;98.20;98.10;98.30;98.30;99.00;98.81;99.19
Hưng Yên;95.90;97.40;95.50;96.50;97.90;98.00;98.00;98.00;98.30;98.60;98.20;98.90;98.30;98.19
Thái Bình;96.90;97.60;97.30;97.70;98.50;98.50;98.50;98.40;98.70;98.60;98.60;99.00;98.70;98.90
Hà Nam;96.00;97.10;97.00;97.70;98.40;98.20;98.10;98.20;98.40;98.10;98.00;98.60;98.60;98.86
Nam Ðịnh;96.70;97.50;96.60;97.10;98.20;98.60;97.60;98.00;97.80;98.10;97.70;98.70;98.00;98.41
Ninh Bình;97.10;97.40;96.50;97.00;97.30;97.40;97.30;97.80;97.90;97.50;97.50;98.60;97.91;97.71
Hà Giang;71.70;68.30;74.60;81.00;73.30;72.40;73.00;74.90;75.80;73.90;72.40;73.50;74.73;74.45
Cao Bằng;81.90;82.50;84.60;84.90;85.00;86.50;81.50;85.50;84.90;85.50;85.60;85.70;86.60;85.36
Bắc Kạn;91.00;90.20;90.70;89.20;91.20;91.80;92.60;93.90;93.90;93.20;92.30;91.70;91.63;93.49
Tuyên Quang;95.20;93.00;94.20;94.00;93.50;93.20;94.80;94.50;94.60;94.90;94.70;94.30;93.94;94.99
Lào Cai;81.80;77.40;75.50;78.40;80.40;80.70;78.50;83.30;85.50;82.20;81.90;82.10;83.62;86.38
Yên Bái;85.70;87.00;84.80;86.30;86.80;88.10;87.60;89.00;89.00;89.70;88.80;88.50;88.99;89.82
Thái Nguyên;96.40;97.30;97.30;97.80;97.80;98.10;97.80;98.40;98.30;97.60;98.30;98.20;97.99;98.32
Lạng Sơn;93.40;93.70;93.60;94.70;96.20;96.60;95.10;96.70;96.60;97.00;96.30;95.40;95.50;95.77
Bắc Giang;96.60;96.70;96.90;97.40;97.70;97.70;97.80;97.70;97.90;97.70;97.50;98.70;98.35;98.20
Phú Thọ;96.30;97.20;97.00;97.10;98.20;98.10;97.60;97.80;98.10;98.00;98.10;98.50;97.91;97.60
Ðiện Biên;73.10;68.40;63.40;65.00;70.80;71.40;70.20;75.10;74.80;76.10;75.40;73.10;75.58;74.92
Lai Châu;60.10;59.40;63.60;61.70;65.80;64.30;66.60;59.20;60.20;62.50;63.30;64.40;65.52;70.99
Sơn La;80.40;76.40;77.00;78.30;74.90;75.50;75.80;77.70;77.10;76.60;77.50;78.90;80.67;80.32
Hòa Bình;94.20;95.40;95.90;97.00;96.40;97.50;96.70;96.80;96.60;97.50;97.00;96.30;97.18;97.50
Thanh Hóa;95.50;95.40;94.50;95.30;95.40;95.60;95.80;96.00;95.90;96.30;95.90;97.30;96.92;96.69
Nghệ An;94.70;95.80;95.40;95.50;95.70;95.80;97.20;97.00;96.60;96.60;97.30;97.40;97.42;96.93
Hà Tĩnh;97.00;97.30;97.40;97.40;98.40;98.30;97.50;97.60;97.70;98.10;97.90;98.50;98.05;98.53
Quảng Bình;95.40;96.20;96.60;97.00;96.70;96.50;97.60;97.10;97.00;97.50;97.50;97.70;97.62;97.51
Quảng Trị;91.30;91.60;91.00;92.00;92.50;92.80;92.70;92.20;92.70;93.20;92.60;93.40;93.53;94.23
Thừa Thiên - Huế;91.70;91.30;91.00;92.10;93.50;92.90;92.50;92.60;93.20;92.50;92.20;94.00;93.09;93.65
Ðà Nẵng;96.90;97.60;97.40;97.70;97.70;98.10;97.80;97.50;98.00;98.20;97.90;98.70;98.38;98.62
Quảng Nam;93.90;94.60;92.10;93.70;95.10;94.90;94.50;94.80;95.30;95.70;95.00;96.20;95.72;95.84
Quảng Ngãi;90.20;92.10;86.70;86.10;86.00;88.90;92.60;93.70;94.20;94.00;93.00;93.30;92.97;93.01
Bình Ðịnh;95.10;95.80;92.70;93.80;95.70;95.80;95.70;96.10;96.70;97.00;96.30;97.20;97.14;96.35
Phú Yên;95.10;94.10;94.90;94.10;95.20;95.20;93.50;93.20;93.70;93.80;93.20;94.70;94.50;95.04
Khánh Hòa;94.50;94.40;92.60;94.20;94.20;93.00;95.60;94.80;95.10;95.10;95.10;96.20;94.37;96.43
Ninh Thuận;86.20;85.70;78.90;80.50;86.10;85.00;87.50;87.50;87.50;87.60;86.80;87.90;86.25;87.60
Bình Thuận;93.80;92.00;92.80;93.90;93.30;93.90;93.00;93.30;93.70;94.00;93.20;94.60;94.45;95.09
Kon Tum;82.50;85.50;84.30;88.20;87.60;88.20;86.80;87.90;90.20;90.10;89.60;90.00;90.99;92.28
Gia Lai;83.10;81.80;82.50;83.90;87.90;83.90;85.60;84.00;83.90;84.80;85.40;85.90;84.58;85.99
Đắk Lắk;89.20;90.80;92.60;93.20;94.60;94.20;91.40;92.90;93.20;92.00;90.40;92.60;88.75;92.77
Đăk Nông;91.30;91.20;94.60;93.90;94.20;94.00;92.30;93.70;93.40;94.50;92.90;92.70;93.92;95.13
Lâm Đồng;92.60;93.00;93.50;94.10;93.60;94.30;94.00;92.60;93.90;93.60;93.50;95.20;94.49;95.00
Bình Phước;94.30;91.80;94.10;94.90;92.80;93.30;92.70;93.40;95.30;92.90;91.10;93.80;94.29;93.44
Tây Ninh;92.10;92.90;92.10;92.70;91.80;93.40;93.10;93.40;93.90;94.90;94.30;94.90;93.96;93.99
Bình Dương;96.50;97.20;95.30;96.20;97.10;97.20;97.20;97.30;96.80;96.30;96.50;98.00;96.57;97.30
Đồng Nai;96.10;96.50;96.80;97.10;97.00;97.20;97.30;97.10;97.00;97.10;96.50;97.90;97.85;97.80
Bà Rịa - Vũng Tàu;95.60;96.00;96.20;96.40;96.00;96.20;96.20;96.80;97.30;97.70;97.20;97.50;97.55;97.73
TP. Hồ Chí Minh;96.90;97.90;97.20;97.50;98.20;98.10;98.40;98.30;98.70;98.50;98.10;99.00;98.74;98.87
Long An;94.70;95.10;94.90;95.20;95.00;95.20;95.60;95.20;95.90;96.60;95.80;96.70;96.65;96.29
Tiền Giang;93.70;94.30;95.00;95.20;95.70;95.20;94.50;94.90;95.30;94.90;94.90;95.90;95.08;95.55
Bến Tre;95.00;94.10;95.30;94.00;95.10;96.10;95.10;94.60;95.00;94.70;93.80;95.20;94.59;94.46
Trà Vinh;85.60;87.20;85.00;85.80;89.30;88.50;87.10;88.30;87.40;88.50;87.80;89.50;88.70;89.68
Vĩnh Long;95.50;94.60;93.20;93.00;93.80;93.40;93.90;93.70;93.50;94.40;93.10;95.80;94.47;94.21
Ðồng Tháp;91.10;90.70;91.70;91.00;93.00;94.70;92.00;93.60;93.10;92.10;91.60;93.80;92.49;93.83
An Giang;88.60;88.50;88.40;88.50;89.10;91.00;89.50;90.50;91.00;92.10;91.70;91.60;90.75;91.28
Kiên Giang;89.90;91.30;92.50;92.60;92.30;91.70;91.90;91.30;90.70;91.40;90.90;93.40;91.58;93.75
Cần Thơ;94.00;94.20;94.40;95.10;95.40;94.50;94.20;94.20;94.20;95.40;93.90;96.50;95.40;95.87
Hậu Giang;90.80;92.90;93.50;93.30;95.20;94.70;94.30;94.30;94.50;94.90;94.00;94.40;95.22;94.83
Sóc Trăng;86.60;87.00;87.00;87.40;88.30;88.70;87.10;88.50;87.70;89.90;89.80;89.30;90.08;90.22
Bạc Liêu;94.20;93.10;93.70;94.60;94.50;95.40;94.30;94.10;93.60;94.50;93.70;95.10;94.59;94.48
Cà Mau;96.10;95.50;95.90;95.70;96.00;95.50;96.00;95.60;95.30;95.80;96.40;96.60;96.24;96.07
